id,temperature,humidity,air_quality,created_at
137,28.5,69.8,1302,2026-02-27 16:02:27.254395
138,28.4,69.9,1314,2026-02-27 16:02:34.378208
139,28.4,69.9,1335,2026-02-27 16:02:41.342583
140,28.4,69.9,1340,2026-02-27 16:02:48.103931
141,28.4,69.8,1382,2026-02-27 16:02:57.110487
142,28.5,69.7,1341,2026-02-27 16:03:04.259761
143,28.4,69.7,1346,2026-02-27 16:03:11.244711
144,28.4,69.7,1310,2026-02-27 16:03:18.196732
145,28.4,69.7,1328,2026-02-27 16:03:27.212102
146,28.5,69.6,1300,2026-02-27 16:03:33.988004
147,28.4,69.6,1303,2026-02-27 16:03:40.539003
148,28.4,69.6,1310,2026-02-27 16:03:47.336428
149,28.4,69.6,1296,2026-02-27 16:03:54.442668
150,28.4,69.5,1319,2026-02-27 16:04:01.523772
151,28.4,69.5,1322,2026-02-27 16:04:08.580766
152,28.4,69.5,1341,2026-02-27 16:04:15.534782
153,28.4,69.5,1330,2026-02-27 16:04:22.507241
154,28.4,69.5,1341,2026-02-27 16:04:29.467172
155,28.4,69.5,1360,2026-02-27 16:04:37.084076
156,28.4,69.4,1322,2026-02-27 16:04:43.806328
157,28.4,69.4,1339,2026-02-27 16:04:50.5609
158,28.4,69.4,1337,2026-02-27 16:04:58.785572
159,28.4,69.3,1343,2026-02-27 16:05:05.794187
160,28.4,69.3,1317,2026-02-27 16:05:12.791911
161,28.4,69.3,1280,2026-02-27 16:05:21.086857
162,28.4,69.3,1329,2026-02-27 16:05:29.694482
163,28.4,69.3,1297,2026-02-27 16:05:36.445106
164,28.4,69.3,1294,2026-02-27 16:05:43.423782
165,28.4,69.2,1296,2026-02-27 16:05:50.856557
166,28.4,69.2,1319,2026-02-27 16:06:01.012251
167,28.4,69.2,1305,2026-02-27 16:06:07.974922
168,28.4,69.1,1332,2026-02-27 16:06:14.941227
169,28.4,69.1,1315,2026-02-27 16:06:21.906562
170,28.4,69.1,1303,2026-02-27 16:06:31.15991
171,28.4,69.1,1275,2026-02-27 16:06:38.192077
172,28.4,69.1,1250,2026-02-27 16:06:45.018229
173,28.4,69.1,1233,2026-02-27 16:06:51.436605
174,28.4,69,1282,2026-02-27 16:07:03.428864
175,28.4,69,1307,2026-02-27 16:07:10.232555
176,28.4,69,1248,2026-02-27 16:07:16.998395
177,28.4,69,1280,2026-02-27 16:07:24.652608
178,28.4,69,1242,2026-02-27 16:07:32.58202
179,28.4,69,1283,2026-02-27 16:07:39.808201
180,28.4,69,1296,2026-02-27 16:07:46.89227
181,28.4,68.9,1264,2026-02-27 16:07:53.868462
182,28.4,68.9,1225,2026-02-27 16:08:03.298765
183,28.4,68.8,1245,2026-02-27 16:08:10.02805
184,28.4,68.8,1252,2026-02-27 16:08:16.806074
185,28.4,68.8,1217,2026-02-27 16:08:23.549701
186,28.4,68.8,1245,2026-02-27 16:08:29.955811
187,28.4,68.8,1221,2026-02-27 16:08:36.661148
188,28.4,68.8,1264,2026-02-27 16:08:43.437257
189,28.4,68.7,1275,2026-02-27 16:08:50.728955
190,28.4,68.7,1239,2026-02-27 16:08:57.375837
191,28.4,68.7,1264,2026-02-27 16:09:06.208296
192,28.4,68.7,1277,2026-02-27 16:09:13.344246
193,28.4,68.7,1296,2026-02-27 16:09:20.765272
194,28.4,68.7,1257,2026-02-27 16:09:29.556299
195,28.4,68.6,1247,2026-02-27 16:09:37.528684
196,28.4,68.6,1247,2026-02-27 16:09:43.837198
197,28.4,68.5,1278,2026-02-27 16:09:50.196221
198,28.4,68.5,1222,2026-02-27 16:09:56.517179
199,28.4,68.5,1232,2026-02-27 16:10:04.714829
200,28.4,68.5,1233,2026-02-27 16:10:23.599484
201,28.4,68.5,1239,2026-02-27 16:10:30.106861
202,28.4,68.5,1295,2026-02-27 16:10:43.026682
203,28.4,68.4,1297,2026-02-27 16:10:49.505295
204,28.4,68.4,1277,2026-02-27 16:10:55.946723
205,28.4,68.4,1306,2026-02-27 16:11:02.249875
206,28.4,68.4,1265,2026-02-27 16:11:09.473472
207,28.4,68.4,1257,2026-02-27 16:11:28.232568
208,28.4,68.4,1262,2026-02-27 16:11:34.631664
209,28.4,68.4,1274,2026-02-27 16:11:40.993928
210,28.4,68.4,1259,2026-02-27 16:11:47.298477
211,28.4,68.4,1266,2026-02-27 16:11:54.894237
212,28.3,68.4,1254,2026-02-27 16:12:03.556707
213,28.4,68.4,1269,2026-02-27 16:12:11.19056
214,28.4,68.3,1271,2026-02-27 16:12:17.947827
215,28.4,68.4,1238,2026-02-27 16:12:26.908293
216,28.3,68.3,1280,2026-02-27 16:12:33.819058
217,28.3,68.3,1290,2026-02-27 16:12:46.242021
218,28.3,68.2,1291,2026-02-27 16:13:04.889961
219,28.3,68.2,1323,2026-02-27 16:13:12.965394
220,28.3,68.4,1298,2026-02-27 16:13:19.243373
221,28.3,68.3,1279,2026-02-27 16:13:25.629061
222,28.3,68.2,1276,2026-02-27 16:13:32.585155
223,28.3,68.2,1287,2026-02-27 16:13:45.693473
224,28.3,68.2,1290,2026-02-27 16:13:52.064249
225,28.3,68.2,1274,2026-02-27 16:13:58.408114
226,28.3,68.2,1286,2026-02-27 16:14:04.793464
227,28.3,68.2,1239,2026-02-27 16:14:11.099048
228,28.3,68.2,1258,2026-02-27 16:14:17.828208
229,28.3,68.2,1299,2026-02-27 16:14:25.24038
230,28.3,68.2,1329,2026-02-27 16:14:32.079602
231,28.3,68.2,1321,2026-02-27 16:14:38.594239
232,28.3,68.2,1291,2026-02-27 16:14:45.366316
233,28.3,68.2,1266,2026-02-27 16:14:52.122823
234,28.3,68.2,1319,2026-02-27 16:14:59.4474
235,28.3,68.2,1301,2026-02-27 16:15:05.853745
236,28.3,68.2,1338,2026-02-27 16:15:15.119063
237,28.3,68.2,1297,2026-02-27 16:15:21.501227
238,28.3,68.2,1330,2026-02-27 16:15:27.913212
239,28.3,68.2,1293,2026-02-27 16:15:34.430034
240,28.3,68.2,1325,2026-02-27 16:15:41.011312
241,28.3,68.2,1325,2026-02-27 16:15:47.41573
242,28.3,68.2,1289,2026-02-27 16:15:54.440924
243,28.2,68.2,1298,2026-02-27 16:16:00.799674
244,28.3,68.1,1338,2026-02-27 16:16:24.702131
245,28.3,68,1341,2026-02-27 16:16:30.978872
246,28.3,68,1280,2026-02-27 16:16:37.312118
247,28.3,68,1266,2026-02-27 16:16:43.680571
248,28.3,68,1303,2026-02-27 16:16:49.987484
249,28.3,68,1283,2026-02-27 16:16:56.858443
250,28.2,68,1281,2026-02-27 16:17:03.356933
251,28.2,68,1264,2026-02-27 16:17:09.891772
252,28.2,68.1,1242,2026-02-27 16:17:18.680577
253,28.2,68.1,1232,2026-02-27 16:17:25.764894
254,28.2,68.2,1278,2026-02-27 16:17:32.314351
255,28.2,68.3,1261,2026-02-27 16:17:38.997974
256,28.2,68.3,1296,2026-02-27 16:17:45.610694
257,28.2,68.5,1252,2026-02-27 16:18:03.360055
258,28.2,68.5,1244,2026-02-27 16:18:10.061189
259,28.2,68.5,1244,2026-02-27 16:18:19.752052
260,28.2,68.5,1279,2026-02-27 16:18:26.213627
261,28.2,68.6,1251,2026-02-27 16:18:33.022582
262,28.2,68.6,1277,2026-02-27 16:18:39.397644
263,28.2,68.6,1276,2026-02-27 16:18:45.713413
264,28.2,68.6,1284,2026-02-27 16:18:52.067974
265,28.2,68.6,1262,2026-02-27 16:18:58.405303
266,28.2,68.6,1241,2026-02-27 16:19:04.809385
267,28.2,68.6,1261,2026-02-27 16:19:11.167848
268,28.2,68.6,1287,2026-02-27 16:19:17.755402
269,28.2,68.6,1264,2026-02-27 16:19:24.140606
270,28.2,68.6,1264,2026-02-27 16:19:30.766053
271,28.2,68.5,1247,2026-02-27 16:19:48.885618
272,28.2,68.5,1268,2026-02-27 16:19:55.862554
273,28.2,68.5,1265,2026-02-27 16:20:02.528478
274,28.2,68.5,1268,2026-02-27 16:20:08.863505
275,28.2,68.5,1267,2026-02-27 16:20:15.193778
276,28.2,68.5,1261,2026-02-27 16:20:22.071429
277,28.2,68.5,1248,2026-02-27 16:20:28.928292
278,28.2,68.5,1236,2026-02-27 16:20:35.291305
279,28.1,68.5,1292,2026-02-27 16:20:41.866982
280,28.1,68.5,1301,2026-02-27 16:20:48.194484
281,28.1,68.5,1284,2026-02-27 16:20:54.552484
282,28.1,68.5,1299,2026-02-27 16:21:01.143819
283,28.1,68.3,1274,2026-02-27 16:21:07.692993
284,28.1,68.3,1264,2026-02-27 16:21:14.312874
285,28.1,68.3,1241,2026-02-27 16:21:23.223683
286,28.1,68.3,1264,2026-02-27 16:21:29.560776
287,28.1,68.3,1264,2026-02-27 16:21:36.276105
288,28.1,68.3,1259,2026-02-27 16:21:42.674294
289,28.1,68.3,1275,2026-02-27 16:21:49.017754
290,28.1,68.3,1262,2026-02-27 16:21:55.384959
291,28.1,68.3,1258,2026-02-27 16:22:01.953826
292,28.1,68.3,1275,2026-02-27 16:22:08.464566
293,28.1,68.3,1269,2026-02-27 16:22:14.871015
294,28.1,68.3,1233,2026-02-27 16:22:24.473751
295,28.1,68.3,1254,2026-02-27 16:22:31.116952
296,28.1,68.3,1222,2026-02-27 16:22:37.828918
297,28.1,68.3,1232,2026-02-27 16:22:44.38203
298,28.1,68.3,1255,2026-02-27 16:22:50.643884
299,28.1,68.2,1228,2026-02-27 16:22:57.067787
300,28.1,68.2,1253,2026-02-27 16:23:03.59206
301,28.1,68.2,1252,2026-02-27 16:23:09.90457
302,28.1,68.1,1246,2026-02-27 16:23:16.356211
303,28.1,68.1,1257,2026-02-27 16:23:25.931161
304,28.1,68.1,1234,2026-02-27 16:23:32.24947
305,28.1,68.1,1215,2026-02-27 16:23:38.609333
306,28.1,68.1,1200,2026-02-27 16:23:44.964971
307,28.1,68.1,1244,2026-02-27 16:23:51.297156
308,28.1,68.1,1236,2026-02-27 16:23:57.905853
309,28.1,68.1,1215,2026-02-27 16:24:04.510905
310,28.1,68.1,1245,2026-02-27 16:24:10.863043
311,28.1,68.1,1260,2026-02-27 16:24:17.307555
312,28.1,68.1,1270,2026-02-27 16:24:26.546252
313,28.1,68.1,1267,2026-02-27 16:24:32.939417
314,28.1,68,1238,2026-02-27 16:24:39.274469
315,28,68,1214,2026-02-27 16:24:45.668036
316,28.1,68,1248,2026-02-27 16:24:51.992625
317,28.1,68,1245,2026-02-27 16:24:58.432993
318,28,68,1246,2026-02-27 16:25:04.788414
319,28,68,1245,2026-02-27 16:25:11.131217
320,28,68,1241,2026-02-27 16:25:17.498867
321,28,68,1232,2026-02-27 16:25:23.96885
322,28,67.9,1231,2026-02-27 16:25:30.506247
323,28.1,67.8,1250,2026-02-27 16:25:36.983203
324,28,67.8,1264,2026-02-27 16:25:43.304546
325,28.1,67.8,1231,2026-02-27 16:25:49.648351
326,28.1,67.8,1235,2026-02-27 16:26:02.385837
327,28,67.8,1220,2026-02-27 16:26:08.575784
328,28,67.8,1237,2026-02-27 16:26:15.155437
329,28,67.8,1244,2026-02-27 16:26:21.611993
330,28,67.8,1232,2026-02-27 16:26:30.655701
331,28,67.8,1229,2026-02-27 16:26:36.94429
332,28,67.8,1210,2026-02-27 16:26:43.33491
333,28,67.8,1227,2026-02-27 16:26:49.671785
334,28,67.7,1241,2026-02-27 16:26:56.216416
335,28,67.8,1191,2026-02-27 16:27:03.040006
336,28,67.7,1237,2026-02-27 16:27:09.359221
337,28,67.7,1239,2026-02-27 16:27:15.671589
338,28,67.7,1235,2026-02-27 16:27:22.243311
339,28,67.7,1209,2026-02-27 16:27:28.85878
340,28,67.7,1230,2026-02-27 16:27:35.112177
341,28,67.7,1222,2026-02-27 16:27:41.781197
342,28,67.7,1226,2026-02-27 16:27:48.113246
343,28,67.6,1241,2026-02-27 16:27:55.105192
344,28,67.6,1223,2026-02-27 16:28:03.498782
345,28,67.6,1216,2026-02-27 16:28:09.886149
346,28,67.6,1233,2026-02-27 16:28:16.215794
347,28,67.6,1232,2026-02-27 16:28:36.348393
348,28,67.6,1249,2026-02-27 16:28:42.743912
349,28,67.6,1270,2026-02-27 16:28:49.098987
350,28,67.6,1229,2026-02-27 16:28:55.458771
351,28,67.5,1238,2026-02-27 16:29:01.918953
352,28,67.5,1221,2026-02-27 16:29:08.184798
353,28,67.5,1216,2026-02-27 16:29:14.484793
354,28,67.5,1234,2026-02-27 16:29:20.855033
355,28,67.6,1254,2026-02-27 16:29:27.109597
356,28,67.8,1201,2026-02-27 16:29:52.737294
357,28,68.1,1218,2026-02-27 16:29:59.118594
358,28,68.3,1248,2026-02-27 16:30:07.934506
359,28,68.4,1223,2026-02-27 16:30:14.239071
360,28,68.5,1259,2026-02-27 16:30:20.684877
361,28,68.6,1241,2026-02-27 16:30:27.302726
362,28,68.6,1282,2026-02-27 16:30:34.230033
363,28,68.7,1273,2026-02-27 16:30:40.869571
364,28,68.9,1283,2026-02-27 16:30:47.222628
365,28.1,69,1260,2026-02-27 16:30:53.596759
366,28,69.1,1264,2026-02-27 16:31:00.118497
367,28.1,69.2,1229,2026-02-27 16:31:09.070486
368,28.1,69.2,1231,2026-02-27 16:31:15.514055
369,28.1,69.3,1238,2026-02-27 16:31:21.828128
370,28,69.4,1200,2026-02-27 16:31:28.513405
371,28,69.5,1241,2026-02-27 16:31:34.979472
372,28,69.5,1232,2026-02-27 16:31:41.484327
373,28.1,69.6,1273,2026-02-27 16:31:47.799361
374,28,69.6,1285,2026-02-27 16:31:57.928823
375,28,69.6,1281,2026-02-27 16:32:04.26201
376,28,69.8,1258,2026-02-27 16:32:10.606794
377,28,69.8,1250,2026-02-27 16:32:16.915171
378,28.1,69.8,1243,2026-02-27 16:32:23.525182
379,28.1,70,1239,2026-02-27 16:32:30.308932
380,28.1,70.1,1239,2026-02-27 16:32:36.665518
381,28.1,70.5,1202,2026-02-27 16:32:43.366215
382,28.1,70.5,1204,2026-02-27 16:32:49.705105
383,28.1,70.4,1218,2026-02-27 16:32:56.061703
384,28.1,70.3,1214,2026-02-27 16:33:02.712514
385,28.1,70.3,1238,2026-02-27 16:33:10.820307
386,28.1,70.4,1226,2026-02-27 16:33:17.378646
387,28,70.3,1223,2026-02-27 16:33:23.713878
388,28.1,70.3,1249,2026-02-27 16:33:30.075858
389,28.1,70.3,1232,2026-02-27 16:33:36.455637
390,28.1,70.3,1238,2026-02-27 16:33:42.94099
391,28.1,70.4,1246,2026-02-27 16:33:49.573565
392,28.1,70.4,1210,2026-02-27 16:33:56.133936
393,28.1,70.5,1249,2026-02-27 16:34:02.422734
394,28.2,70.7,1264,2026-02-27 16:34:11.46624
395,28.1,70.6,1218,2026-02-27 16:34:17.811944
396,28.1,70.6,1254,2026-02-27 16:34:24.135554
397,28.2,70.7,1253,2026-02-27 16:34:30.714965
398,28.2,70.7,1193,2026-02-27 16:34:37.490546
399,28.2,70.7,1255,2026-02-27 16:34:44.039574
400,28.2,70.7,1245,2026-02-27 16:34:50.454593
401,28.2,70.7,1236,2026-02-27 16:34:57.09355
402,28.2,70.7,1234,2026-02-27 16:35:04.255403
403,28.2,70.6,1258,2026-02-27 16:35:12.491692
404,28.2,70.6,1231,2026-02-27 16:35:19.449589
405,28.2,70.7,1237,2026-02-27 16:35:25.788085
406,28.2,70.7,1264,2026-02-27 16:35:32.926243
407,28.2,70.7,1280,2026-02-27 16:35:39.700435
408,28.2,70.7,1237,2026-02-27 16:35:46.294225
409,28.2,70.6,1243,2026-02-27 16:35:52.586015
410,28.3,70.5,1242,2026-02-27 16:35:58.957382
411,28.3,70.4,1263,2026-02-27 16:36:05.303111
412,28.3,70.4,1251,2026-02-27 16:36:12.898795
413,28.3,70.3,1259,2026-02-27 16:36:19.241346
414,28.3,70.3,1241,2026-02-27 16:36:25.924678
415,28.3,70.3,1200,2026-02-27 16:36:32.298159
416,28.3,70.2,1255,2026-02-27 16:36:38.648094
417,28.3,70.2,1229,2026-02-27 16:36:45.020607
418,28.3,70.2,1265,2026-02-27 16:36:51.620166
419,28.3,70.1,1229,2026-02-27 16:36:58.140874
420,28.3,70.1,1217,2026-02-27 16:37:04.879209
421,28.3,70.1,1222,2026-02-27 16:37:13.538104
422,28.3,70.1,1225,2026-02-27 16:37:19.848726
423,28.3,70,1253,2026-02-27 16:37:26.35245
424,28.3,69.9,1242,2026-02-27 16:37:33.026826
425,28.3,69.9,1251,2026-02-27 16:37:39.505709
426,28.3,69.9,1264,2026-02-27 16:37:46.186432
427,28.3,69.9,1255,2026-02-27 16:37:52.603432
428,28.3,69.9,1249,2026-02-27 16:37:59.238006
429,28.3,69.9,1237,2026-02-27 16:38:05.716484
430,28.3,69.9,1239,2026-02-27 16:38:14.343023
431,28.3,69.9,1231,2026-02-27 16:38:20.769577
432,28.3,69.9,1168,2026-02-27 16:38:27.178113
433,28.3,69.9,1226,2026-02-27 16:38:33.540632
434,28.3,69.9,1209,2026-02-27 16:38:40.125665
435,27.1,57.3,4095,2026-02-28 03:26:33.950977
436,27.3,58.4,3505,2026-02-28 03:26:40.337224
437,27.3,58.3,2896,2026-02-28 03:26:46.751316
438,27.4,58.2,2592,2026-02-28 03:26:53.014347
439,27.4,58.1,2325,2026-02-28 03:27:00.482904
440,27.4,58.1,1951,2026-02-28 03:27:16.827761
441,27.4,58,1872,2026-02-28 03:27:23.157258
442,27.4,58,1801,2026-02-28 03:27:30.413251
443,27.4,58,1748,2026-02-28 03:27:36.709918
444,27.4,57.9,1713,2026-02-28 03:27:43.06897
445,27.4,57.9,1661,2026-02-28 03:27:49.437661
446,27.4,57.9,1645,2026-02-28 03:27:55.763774
447,27.4,57.9,1650,2026-02-28 03:28:02.344853
448,27.4,57.9,1622,2026-02-28 03:28:08.657179
449,27.4,57.8,1600,2026-02-28 03:28:15.007204
450,27.4,57.8,1573,2026-02-28 03:28:21.381909
451,27.4,57.8,1574,2026-02-28 03:28:27.70205
452,27.4,57.8,1559,2026-02-28 03:28:34.077105
453,27.4,57.8,1535,2026-02-28 03:28:40.449788
454,27.4,57.8,1555,2026-02-28 03:28:46.741049
455,27.4,57.7,1524,2026-02-28 03:28:53.11565
456,27.4,57.7,1501,2026-02-28 03:29:01.349756
457,27.4,57.7,1486,2026-02-28 03:29:07.876145
458,27.4,57.7,1520,2026-02-28 03:29:14.18455
459,27.4,57.7,1463,2026-02-28 03:29:20.78972
460,27.4,57.7,1481,2026-02-28 03:29:27.119678
461,27.4,57.7,1484,2026-02-28 03:29:33.435103
462,27.4,57.7,1479,2026-02-28 03:29:40.045855
463,27.4,57.7,1471,2026-02-28 03:29:46.344227
464,27.4,57.7,1487,2026-02-28 03:29:52.690133
465,27.4,57.7,1483,2026-02-28 03:29:59.037806
466,27.4,57.7,1438,2026-02-28 03:30:05.383042
467,27.4,57.7,1457,2026-02-28 03:30:11.754643
468,27.4,57.7,1437,2026-02-28 03:30:18.308511
469,27.4,57.6,1459,2026-02-28 03:30:24.695258
470,27.4,57.7,1460,2026-02-28 03:30:33.279988
471,27.4,57.6,1462,2026-02-28 03:30:39.696323
472,27.4,57.6,1424,2026-02-28 03:30:46.082822
473,27.4,57.6,1425,2026-02-28 03:30:52.464492
474,27.4,57.6,1462,2026-02-28 03:30:58.825575
475,27.4,57.6,1456,2026-02-28 03:31:15.25432
476,27.4,57.6,1424,2026-02-28 03:31:21.633899
477,27.4,57.5,1425,2026-02-28 03:31:28.122286
478,27.4,57.5,1449,2026-02-28 03:31:34.570728
479,27.4,57.5,1437,2026-02-28 03:31:40.866776
480,27.4,57.6,1449,2026-02-28 03:31:47.148665
481,27.4,57.5,1423,2026-02-28 03:32:04.690553
482,27.4,57.5,1434,2026-02-28 03:32:11.123596
483,27.4,57.5,1392,2026-02-28 03:32:17.476318
484,27.4,57.5,1422,2026-02-28 03:32:23.878569
485,27.4,57.5,1434,2026-02-28 03:32:30.214454
486,27.4,57.5,1408,2026-02-28 03:32:36.601085
487,27.4,57.5,1397,2026-02-28 03:32:44.648772
